Station Name,Station Code 1,Station Code 2,Station Code 3
Tampines,EW2,DT32,
Tanah Merah,EW4,CG,
Expo,CG1,DT35,
Paya Lebar,EW8,CC9,
Bugis,EW12,DT14,
City Hall,NS25,EW13,
Raffles Place,NS26,EW14,
Outram Park,EW16,NE3,TE17
Buona Vista,CC22,EW21,
Jurong East,NS1,EW24,
Choa Chu Kang,NS4,BP1,
Woodlands,NS9,TE2,
Bishan,NS17,CC15,
Newton,NS21,DT11,
Orchard,TE14,NS22,
Dhoby Ghaut,NS24,NE6,CC1
Marina Bay,NS27,TE20,CE2
Harbour Front,CC29,NE1,
Chinatown,NE4,DT19,
Little India,NE7,DT12,
Serangoon,NE12,CC13,
Sengkang,NE16,STC,
Punggol,NE17,PTC,
Promenade,DT15,CC4,
MacPherson,DT26,CC10,
Caldecott,CC17,TE9,
Botanic Gardens,CC19,DT9,
Bayfront,DT16,CE1,
Stevens,DT10,TE11,
Bukit Panjang,DT1,BP6,
